affectionate
child
cheer
commit
communal
compassion
connect
considerate
cooperat
depend
emotiona
empath
feminine
flatterabl
gentle
honest
interpersona
kind
kinship
loyal
modest
nag
nurtur
pleasant
polite
quiet
respon
sensitiv
submiss
support
sympath
tender
together
trust
understand
warm
whin
yield
