active
adventurous
agress
ambitio
analy
assert
athlet
auto
autonom
boast
challeng
compet
confident
courag
decid
decisive
decision
determin
domina
forc
greed
headstrong
hierarch
hostil
impulsive
independen
individual
intellect
lead
logic
masculine
objective
opinion
outspoken
persist
principle
reckless
stubborn
superior
self-confiden
self-sufficien
self-relian
