job_title,masc,fem
Shift Manager,0.010739856801909307,0.017899761336515514
Operations Support Manager,0.02538787023977433,0.009873060648801129
Senior Product Manager - Data,0.0171990171990172,0.014742014742014743
Part-Time Office Concierge,0.001589825119236884,0.022257551669316374
Print & Marketing Associate,0.004335260115606936,0.014450867052023121
Cyber IT Risk & Strategy Senior Consultant,0.013816925734024179,0.010362694300518135
Sales Associate, Retail Part Time,0.013232514177693762,0.005671077504725898
Home Lending Branch Manager-Spokane,0.006818181818181818,0.015909090909090907
Property Manager in Training (MIT),0.007102272727272727,0.004261363636363636
Compliance Specialist, Marketing, Advertising & Packaging,0.003389830508474576,0.011864406779661017
Sr. Copywriter - PHARMA,0.015432098765432098,0.0030864197530864196
Photo Booth Production Manager,0.00234192037470726,0.01873536299765808
Sales Associate/Beauty Advisor,0.0027548209366391185,0.008264462809917356
Prog Cost/Sched Ctrl Analyst 3,0.011874469889737066,0.011874469889737066
Tax Preparer I Store Operations,0.008097165991902834,0.008097165991902834
Senior Software Engineer - XCHNG,0.010775862068965518,0.008620689655172414
Internet Sales Associate,0.026627218934911243,0.011834319526627219
Sales Associate/Beauty Advisor,0.0027548209366391185,0.008264462809917356
Business Analyst with Adobe Experience Manager (AEM) experience,0.012345679012345678,0.009259259259259259
Omni-Channel Associate,0.010183299389002037,0.006109979633401222
Mortgage Loan Officer - Level 2,0.017605633802816902,0.0035211267605633804
Assistant Property Manager/Leasing Consultant,0.004878048780487805,0.00975609756097561
Store Manager (MD-Frederick Spectrum Drive),0.0150093808630394,0.009380863039399626
AI Solution Architect,0.010610079575596816,0.021220159151193633
Financial Analyst,0.02145214521452145,0.018151815181518153
Sr Pricing Analyst - CPO,0.01627906976744186,0.010465116279069767
Electrical Engineer,0.02534562211981567,0.0069124423963133645
Account Executive - Acumatica Cloud ERP US Based Remote Position,0.01141552511415525,0.0091324200913242
Assistant Retail Facility Manager 1,0.002702702702702703,0.008108108108108109
Software Engineering Manager,0.02631578947368421,0.007518796992481203
Aircraft Modification Quality Manager,0.02230971128608924,0.011811023622047244
Enterprise Account Executive,0.0058309037900874635,0.0029154518950437317
Promotional Products Sales Professional,0.015463917525773196,0.007731958762886598
Collections Associate,0.005235602094240838,0.005235602094240838
Demand Planner,0.023936170212765957,0.018617021276595744
Beauty Advisor Seasonal - Store 275,0.015021459227467811,0.01072961373390558
Business Analyst/Project Manager,0.015186915887850467,0.012850467289719626
Client Services Manager - Digital Account Management,0.008620689655172414,0.008620689655172414
Leasing Consultant,0.011086474501108648,0.008869179600886918
Product Manager, Platform Products,0.02717391304347826,0.007246376811594203
Transportation Dispatcher,0.006493506493506494,0.006493506493506494
Retail Store Manager,0.01607142857142857,0.014285714285714285
Branch Sales and Service Associate (MLO),0.008168028004667444,0.012835472578763127
Six Flags International Director of Marketing and Sales,0.015942028985507246,0.015942028985507246
Manager of Client Strategy,0.0041928721174004195,0.027253668763102725
Beauty Advisor Seasonal,0.015021459227467811,0.01072961373390558
Account Executive,0.0036036036036036037,0.010810810810810811
Commission Sales Rental Agent Midway Airport,0.010141987829614604,0.006085192697768763
Accounting Associate,0.015037593984962405,0.022556390977443608
Outside Sales Representative-Denver, CO,0.010256410256410256,0.007692307692307693
STORE MANAGER,0.009603841536614645,0.013205282112845138
Branch Sales and Service Associate I (MLO) - Personal Banker,0.008871989860583017,0.01394169835234474
Learning and Development Manager,0.019834710743801654,0.011570247933884297
Sales Account Executive,0.014285714285714285,0.009523809523809525
Senior Solutions Architect,0.008321775312066574,0.006934812760055479
Revenue Generation Analyst,0.020370370370370372,0.024074074074074074
Multimedia Sales Executive, Inside Sales,0.00423728813559322,0.014830508474576272
Merchandiser,0.008213552361396304,0.006160164271047228
IT Director,0.008743169398907104,0.017486338797814208
Real Estate Operations Manager,0.026252983293556086,0.00954653937947494
Education Expert - Westfarms Mall (Full-Time),0.00398406374501992,0.01195219123505976
Lids Assistant Manager Full-Time,0.00946372239747634,0.006309148264984227
Commercial Relationship Manager, VP or SVP - Madison, WI,0.005623242736644799,0.008434864104967198
Client Services (Integrated Marketing + Account Management) Internship Fall 2019 - Los Angeles,0.02364066193853428,0.004728132387706856
Sr. Sales Engineer,0.018838304552590265,0.015698587127158554
On-Site Service Representative - Part Time 30 - Panama City,0.00794912559618442,0.0047694753577106515
Office Clerk Assistant,0.008097165991902834,0.016194331983805668
Business Development Executive - Food Services,0.01762114537444934,0.01762114537444934
Executive - FP&A Management,0.03785488958990536,0.00946372239747634
Senior Data Scientist, Wholesale Credit Technology,0.036734693877551024,0.00816326530612245
Technical Sales Support Specialist - Instrumentation Products,0.004285714285714286,0.02
Commercial Fire Alarm Sales Rep,0.022727272727272728,0.007575757575757576
Restaurant Aloha / NCR Support Specialist,0.005747126436781609,0.028735632183908046
SVP, Cloud Transformation,0.03524229074889868,0.007709251101321586
Salesforce Solution Architect,0.0169971671388102,0.0113314447592068
Certified and DC Reg. Pharmacy Technician - Whitman Walker,0.01749271137026239,0.014577259475218658
Assistant Manager,0.008101851851851851,0.011574074074074073
Manufacturing Consulting Market Leader,0.020437956204379562,0.014598540145985401
Technical Account Specialist,0.006789524733268671,0.020368574199806012
Business Development Representative,0.010810810810810811,0.008108108108108109
Management Trainee,0.005405405405405406,0.005405405405405406
Engineering - Staff Engineer,0.02231237322515213,0.012170385395537525
Senior Cloud/Azure Sales Specialist - Dev Ops,0.02054794520547945,0.005707762557077625
Lids District Mgr in Training (DMIT),0.007159904534606206,0.014319809069212411
Human Resources Expert,0.013679890560875513,0.008207934336525308
